"time,linear_x,linear_y,linear_z,rotation_x,rotation_y,rotation_z"
"1824.3,0.015312065,0.101786613,0.147321072,-0.233257684,0.048835642,-0.092892247"
"1824.4,0.015312065,0.116544724,0.13702425,-0.261562094,0.032518331,-0.096514355"
"1824.5,0.015102256,0.130496979,0.125693169,-0.287670492,0.015761515,-0.099215148"
"1824.6,0.01467501,0.143493652,0.113364544,-0.311355027,-0.001359861,-0.100945907"
"1824.7,0.014018882,0.155392647,0.100074615,-0.332394891,-0.018776759,-0.101657814"
"1824.8,0.013130058,0.166056633,0.085873451,-0.350589795,-0.036412329,-0.101312803"
"1824.9,0.012012351,0.175363541,0.070830669,-0.365777708,-0.054168296,-0.099895879"
"1825,0.010684837,0.183203697,0.055039253,-0.377843717,-0.071922832,-0.097419142"
"1825.1,0.009170402,0.189488411,0.038600769,-0.386713118,-0.089541986,-0.093914301"
"1825.2,0.007491935,0.194145203,0.021618214,-0.392334657,-0.106896836,-0.089419022"
"1825.3,0.00566088,0.197118759,0.004185524,-0.394665166,-0.123874512,-0.083966597"
"1825.4,0.003684867,0.198366165,-0.01360384,-0.393667184,-0.140375955,-0.077585973"
"1825.5,0.001571525,0.197861671,-0.031647835,-0.389320489,-0.156301555,-0.070312255"
"1825.6,-6.56E-04,0.195596695,-0.049819622,-0.381642369,-0.171532877,-0.062202046"
"1825.7,-0.002960335,0.191581726,-0.067961369,-0.370706916,-0.18591879,-0.053346505"
"1825.8,-0.005287301,0.185854912,-0.085882339,-0.356656017,-0.199271396,-0.043877302"
"1825.9,-0.00756086,0.17847538,-0.103368912,-0.339699912,-0.211372517,-0.033964056"
"1826,-0.009697091,0.169530869,-0.120196018,-0.320106474,-0.221989392,-0.023803715"
"1826.1,-0.011612069,0.159134865,-0.136148605,-0.298180072,-0.230898067,-0.013602721"
"1826.2,-0.013248574,0.147420883,-0.151041183,-0.274231508,-0.23791163,-0.003553606"
"1826.3,-0.01456083,0.134536743,-0.164735947,-0.248543514,-0.242907754,0.006189778"
"1826.4,-0.01556028,0.120639801,-0.177152786,-0.221341458,-0.245846389,0.015531028"
"1826.5,-0.016277444,0.105886459,-0.188264523,-0.192780542,-0.246768865,0.024435757"
"1826.6,-0.016773354,0.09043026,-0.198073063,-0.162957575,-0.245775179,0.032917643"
"1826.7,-0.017109048,0.074419022,-0.206582699,-0.131944941,-0.242985554,0.041009199"
"1826.8,-0.017341744,0.057997704,-0.213770065,-0.099834921,-0.238500387,0.048727937"
"1826.9,-0.017479073,0.041314125,-0.219571743,-0.066776512,-0.232373734,0.056051167"
"1827,-0.017513405,0.024523735,-0.223887596,-0.032990848,-0.224610077,0.062908597"
"1827.1,-0.017410409,0.007786751,-0.226598892,0.001238305,-0.215181921,0.069193638"
"1827.2,-0.017124306,-0.008730888,-0.227595005,0.035591639,-0.204058692,0.074785956"
